#options: 3840x2160 fps=50/1 timebase=1/50 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=5000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:48 out:45 type:P dur:2 cpbdur:2 q:23.11 aq:5.86 tex:275767 mv:40902 misc:4755 imb:2566 pmb:2526 smb:27308 d:- ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:23.50 aq:13.22 tex:43406 mv:33143 misc:6739 imb:379 pmb:2846 smb:29175 d:- ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:23.69 aq:15.03 tex:19105 mv:20558 misc:5569 imb:156 pmb:1875 smb:30369 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:23.30 aq:14.36 tex:22734 mv:22842 misc:6504 imb:178 pmb:2304 smb:29918 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:22.72 aq:8.65 tex:314779 mv:43389 misc:5048 imb:1609 pmb:3132 smb:27659 d:- ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:22.91 aq:11.95 tex:77404 mv:34580 misc:6776 imb:238 pmb:3060 smb:29102 d:- ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:23.01 aq:11.53 tex:3512 mv:2608 misc:4480 imb:31 pmb:958 smb:31411 d:- ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:22.81 aq:12.45 tex:2678 mv:1859 misc:4199 imb:4 pmb:895 smb:31501 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:22.92 aq:10.29 tex:190018 mv:26649 misc:5989 imb:942 pmb:2750 smb:28708 d:- ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:22.82 aq:13.74 tex:23948 mv:14968 misc:6412 imb:41 pmb:2057 smb:30302 d:- ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:22.77 aq:14.99 tex:18423 mv:16562 misc:5567 imb:83 pmb:1672 smb:30645 d:- ref:0 ;
